2014-05-25 00:22:20,498 pool-1-thread-1 name.martingeisse.miner.server.terrain.TerrainGenerator DEBUG: generating random terrain for section column at -9, -9
2014-05-25 00:22:20,519 pool-1-thread-3 name.martingeisse.miner.server.terrain.TerrainGenerator DEBUG: random terrain generated for section column at -10, 9
2014-05-25 00:22:20,519 pool-1-thread-3 name.martingeisse.miner.server.terrain.TerrainGenerator DEBUG: generating random terrain for section column at -9, -8
2014-05-25 00:22:20,572 pool-1-thread-2 name.martingeisse.miner.server.terrain.TerrainGenerator DEBUG: random terrain generated for section column at -10, 10
2014-05-25 00:22:20,573 pool-1-thread-2 name.martingeisse.miner.server.terrain.TerrainGenerator DEBUG: generating random terrain for section column at -9, -7
2014-05-25 00:22:20,685 pool-1-thread-4 name.martingeisse.miner.server.terrain.TerrainGenerator DEBUG: random terrain generated for section column at -9, -10
2014-05-25 00:22:20,685 pool-1-thread-4 name.martingeisse.miner.server.terrain.TerrainGenerator DEBUG: generating random terrain for section column at -9, -6
2014-05-25 00:22:20,688 pool-1-thread-1 name.martingeisse.miner.server.terrain.TerrainGenerator DEBUG: random terrain generated for section column at -9, -9
2014-05-25 00:22:20,688 pool-1-thread-1 name.martingeisse.miner.server.terrain.TerrainGenerator DEBUG: generating random terrain for section column at -9, -5
2014-05-25 00:22:20,694 pool-1-thread-3 name.martingeisse.miner.server.terrain.TerrainGenerator DEBUG: random terrain generated for section column at -9, -8
2014-05-25 00:22:20,694 pool-1-thread-3 name.martingeisse.miner.server.terrain.TerrainGenerator DEBUG: generating random terrain for section column at -9, -4
2014-05-25 00:22:20,795 pool-1-thread-2 name.martingeisse.miner.server.terrain.TerrainGenerator DEBUG: random terrain generated for section column at -9, -7
2014-05-25 00:22:20,796 pool-1-thread-2 name.martingeisse.miner.server.terrain.TerrainGenerator DEBUG: generating random terrain for section column at -9, -3
2014-05-25 00:22:20,848 pool-1-thread-4 name.martingeisse.miner.server.terrain.TerrainGenerator DEBUG: random terrain generated for section column at -9, -6
2014-05-25 00:22:20,848 pool-1-thread-4 name.martingeisse.miner.server.terrain.TerrainGenerator DEBUG: generating random terrain for section column at -9, -2
2014-05-25 00:22:20,870 pool-1-thread-1 name.martingeisse.miner.server.terrain.TerrainGenerator DEBUG: random terrain generated for section column at -9, -5
2014-05-25 00:22:20,870 pool-1-thread-1 name.martingeisse.miner.server.terrain.TerrainGenerator DEBUG: generating random terrain for section column at -9, -1
2014-05-25 00:22:20,881 pool-1-thread-3 name.martingeisse.miner.server.terrain.TerrainGenerator DEBUG: random terrain generated for section column at -9, -4
2014-05-25 00:22:20,882 pool-1-thread-3 name.martingeisse.miner.server.terrain.TerrainGenerator DEBUG: generating random terrain for section column at -9, 0
2014-05-25 00:22:20,990 pool-1-thread-2 name.martingeisse.miner.server.terrain.TerrainGenerator DEBUG: random terrain generated for section column at -9, -3
2014-05-25 00:22:20,991 pool-1-thread-2 name.martingeisse.miner.server.terrain.TerrainGenerator DEBUG: generating random terrain for section column at -9, 1
2014-05-25 00:22:20,993 pool-1-thread-4 name.martingeisse.miner.server.terrain.TerrainGenerator DEBUG: random terrain generated for section column at -9, -2
2014-05-25 00:22:21,014 pool-1-thread-4 name.martingeisse.miner.server.terrain.TerrainGenerator DEBUG: generating random terrain for section column at -9, 2
2014-05-25 00:22:21,076 pool-1-thread-1 name.martingeisse.miner.server.terrain.TerrainGenerator DEBUG: random terrain generated for section column at -9, -1
2014-05-25 00:22:21,077 pool-1-thread-1 name.martingeisse.miner.server.terrain.TerrainGenerator DEBUG: generating random terrain for section column at -9, 3
2014-05-25 00:22:21,087 pool-1-thread-3 name.martingeisse.miner.server.terrain.TerrainGenerator DEBUG: random terrain generated for section column at -9, 0
2014-05-25 00:22:21,087 pool-1-thread-3 name.martingeisse.miner.server.terrain.TerrainGenerator DEBUG: generating random terrain for section column at -9, 4
2014-05-25 00:22:21,171 pool-1-thread-2 name.martingeisse.miner.server.terrain.TerrainGenerator DEBUG: random terrain generated for section column at -9, 1
2014-05-25 00:22:21,188 pool-1-thread-2 name.martingeisse.miner.server.terrain.TerrainGenerator DEBUG: generating random terrain for section column at -9, 5
2014-05-25 00:22:21,188 pool-1-thread-4 name.martingeisse.miner.server.terrain.TerrainGenerator DEBUG: random terrain generated for section column at -9, 2
2014-05-25 00:22:21,188 pool-1-thread-4 name.martingeisse.miner.server.terrain.TerrainGenerator DEBUG: generating random terrain for section column at -9, 6
2014-05-25 00:22:21,296 pool-1-thread-1 name.martingeisse.miner.server.terrain.TerrainGenerator DEBUG: random terrain generated for section column at -9, 3
2014-05-25 00:22:21,297 pool-1-thread-1 name.martingeisse.miner.server.terrain.TerrainGenerator DEBUG: generating random terrain for section column at -9, 7
2014-05-25 00:22:21,297 pool-1-thread-3 name.martingeisse.miner.server.terrain.TerrainGenerator DEBUG: random terrain generated for section column at -9, 4
2014-05-25 00:22:21,297 pool-1-thread-3 name.martingeisse.miner.server.terrain.TerrainGenerator DEBUG: generating random terrain for section column at -9, 8
2014-05-25 00:22:21,353 pool-1-thread-4 name.martingeisse.miner.server.terrain.TerrainGenerator DEBUG: random terrain generated for section column at -9, 6
2014-05-25 00:22:21,353 pool-1-thread-4 name.martingeisse.miner.server.terrain.TerrainGenerator DEBUG: generating random terrain for section column at -9, 9
